Transaction Dates (Calculated),N.Y.C. - J Day Ahead Price,N.Y.C. - J Day Ahead Forecast Load
"41,645.54",122.68,6762
"41,645.58",118.7,6766
"41,645.63",128.18,6775
"41,645.67",138.43,6896
"41,645.71",194.05,7051
"41,645.75",179.05,6966
"41,645.79",158.59,6799
"41,645.83",138.07,6608
"41,645.88",116.47,6371
"41,645.92",108.46,6038
"41,645.96",111.26,5609
"41,646.00",157.09,5287
"41,646.04",151.63,5050
"41,646.08",149.32,4895
"41,646.13",148.12,4828
"41,646.17",153.08,4897
"41,646.21",165.15,5195
"41,646.25",202.34,5774
"41,646.29",235,6377
"41,646.33",216.97,6796
"41,646.38",224.49,7073
"41,646.42",231.03,7243
"41,646.46",220.67,7342
"41,646.50",192.67,7407
"41,646.54",196.29,7417
"41,646.58",188.12,7408
"41,646.63",192.22,7417
"41,646.67",211,7516
"41,646.71",300.35,7699
"41,646.75",295.6,7607
"41,646.79",254.29,7395
"41,646.83",242.79,7152
"41,646.88",209.3,6842
"41,646.92",186.66,6455
"41,646.96",173.67,5975
"41,647.00",208.64,5637
"41,647.04",189.71,5330
"41,647.08",188.26,5146
"41,647.13",187.79,5058
"41,647.17",189.5,5127
"41,647.21",212.78,5407
"41,647.25",259.6,5948
"41,647.29",266.2,6484
"41,647.33",250.24,6860
"41,647.38",249.15,7105
"41,647.42",240.04,7250
"41,647.46",225.88,7328
"41,647.50",217.78,7373
"41,647.54",209.64,7361
"41,647.58",202.17,7332
"41,647.63",213.65,7339
"41,647.67",217.68,7427
"41,647.71",285.81,7595
"41,647.75",269.99,7505
"41,647.79",238.39,7290
"41,647.83",231.68,7044
"41,647.88",218.07,6745
"41,647.92",201.09,6361
"41,647.96",197.51,5902
"41,648.00",182.3,5581
"41,648.04",158.65,5270
"41,648.08",158.71,5077
"41,648.13",162.88,4982
"41,648.17",163.88,5034
"41,648.21",180.44,5278
"41,648.25",190.36,5790
"41,648.29",241.2,6278
"41,648.33",244.85,6638
"41,648.38",230.58,6867
"41,648.42",189.56,7028
"41,648.46",182.12,7094
"41,648.50",180.37,7144
"41,648.54",177.2,7141
"41,648.58",175.86,7117
"41,648.63",176.21,7120
"41,648.67",186.51,7189
"41,648.71",257.52,7383
"41,648.75",227.9,7310
"41,648.79",194.74,7116
"41,648.83",187,6885
"41,648.88",180.29,6622
"41,648.92",166.58,6276
"41,648.96",152.53,5853
"41,649.00",64.57,5471
"41,649.04",66.65,5163
"41,649.08",61.49,4957
"41,649.13",53.3,4856
"41,649.17",60.79,4892
"41,649.21",54.08,5125
"41,649.25",79.15,5609
"41,649.29",96.48,6112
"41,649.33",91.33,6460
"41,649.38",86.52,6716
"41,649.42",78.01,6884
"41,649.46",75.94,6942
"41,649.50",72.75,6985
"41,649.54",71.17,6979
"41,649.58",65.51,6947
"41,649.63",65.42,6950
"41,649.67",76.73,7024
"41,649.71",105.2,7168
"41,649.75",84.48,7054
"41,649.79",77.64,6836
"41,649.83",71.92,6600
"41,649.88",68.39,6362
"41,649.92",46.48,6076
"41,649.96",49.27,5695
"41,650.00",31.72,5251
"41,650.04",30.45,4964
"41,650.08",31.36,4771
"41,650.13",30.1,4664
"41,650.17",29.99,4552
"41,650.21",29.36,4519
"41,650.25",33.85,4629
"41,650.29",32.25,4891
"41,650.33",35.81,5174
"41,650.38",38.87,5459
"41,650.42",40.5,5681
"41,650.46",39.84,5780
"41,650.50",38.61,5831
"41,650.54",36.39,5834
"41,650.58",35.28,5807
"41,650.63",35.51,5803
"41,650.67",39.07,5879
"41,650.71",49.92,6140
"41,650.75",45.23,6167
"41,650.79",42,6064
"41,650.83",39.71,5923
"41,650.88",37.43,5773
"41,650.92",33.86,5585
"41,650.96",34.42,5322
"41,651.00",33.66,5032
"41,651.04",33.04,4780
"41,651.08",30.07,4612
"41,651.13",29.86,4538
"41,651.17",30.09,4433
"41,651.21",26.44,4342
"41,651.25",25.93,4360
"41,651.29",26.56,4548
"41,651.33",28.45,4776
"41,651.38",32.43,5049
"41,651.42",35.35,5280
"41,651.46",35.53,5400
"41,651.50",36.14,5472
"41,651.54",34.86,5479
"41,651.58",34.08,5484
"41,651.63",33.43,5490
"41,651.67",36.57,5592
"41,651.71",50.06,5962
"41,651.75",47.96,6091
"41,651.79",44.34,6062
"41,651.83",40.49,5998
"41,651.88",41.24,5872
"41,651.92",35.15,5665
"41,651.96",33.36,5378
"41,652.00",29.78,5073
"41,652.04",26.14,4797
"41,652.08",26,4628
"41,652.13",25.9,4549
"41,652.17",25.88,4591
"41,652.21",31.28,4826
"41,652.25",39.53,5322
"41,652.29",45.23,5878
"41,652.33",40.04,6206
"41,652.38",40.38,6454
"41,652.42",40.38,6602
"41,652.46",40.01,6641
"41,652.50",39.38,6670
"41,652.54",38.09,6681
"41,652.58",37.16,6660
"41,652.63",36.92,6674
"41,652.67",42.87,6782
"41,652.71",56.67,6972
"41,652.75",49.7,6892
"41,652.79",45.91,6712
"41,652.83",41.01,6486
"41,652.88",38.04,6218
"41,652.92",34.81,5854
"41,652.96",33.24,5398
"41,653.00",31.08,4966
"41,653.04",26.8,4672
"41,653.08",25.92,4489
"41,653.13",25.62,4397
"41,653.17",26.13,4396
"41,653.21",32.09,4620
"41,653.25",47.52,5114
"41,653.29",50.67,5682
"41,653.33",47.84,6026
"41,653.38",46.93,6285
"41,653.42",48.58,6441
"41,653.46",46.06,6500
"41,653.50",42.83,6535
"41,653.54",42.19,6555
"41,653.58",41.93,6550
"41,653.63",41.89,6574
"41,653.67",44.75,6668
"41,653.71",61.28,6849
"41,653.75",55.02,6759
"41,653.79",51.37,6573
"41,653.83",45.47,6372
"41,653.88",39.88,6115
"41,653.92",37.82,5756
"41,653.96",36.15,5321
"41,654.00",31.48,4978
"41,654.04",27.07,4686
"41,654.08",25.87,4508
"41,654.13",25.7,4414
"41,654.17",27.07,4426
"41,654.21",36.01,4670
"41,654.25",50.82,5160
"41,654.29",53.21,5720
"41,654.33",50.82,6059
"41,654.38",52.06,6297
"41,654.42",52.15,6434
"41,654.46",51.07,6465
"41,654.50",46.87,6487
"41,654.54",45.35,6492
"41,654.58",43.25,6467
"41,654.63",43.07,6483
"41,654.67",45.45,6566
"41,654.71",61.34,6794
"41,654.75",55.82,6728
"41,654.79",52.96,6552
"41,654.83",45.31,6345
"41,654.88",42.85,6099
"41,654.92",39.72,5764
"41,654.96",37.84,5322
"41,655.00",40.15,4961
"41,655.04",33.94,4689
"41,655.08",31.67,4519
"41,655.13",31.2,4432
"41,655.17",33.6,4441
"41,655.21",37.07,4667
"41,655.25",46.26,5164
"41,655.29",56.36,5746
"41,655.33",51.27,6084
"41,655.38",55,6333
"41,655.42",56.44,6469
"41,655.46",56.51,6517
"41,655.50",51.17,6536
"41,655.54",47.07,6546
"41,655.58",45.39,6514
"41,655.63",45.35,6534
"41,655.67",46.28,6605
"41,655.71",64.08,6812
"41,655.75",59.54,6766
"41,655.79",57.34,6586
"41,655.83",47.49,6380
"41,655.88",45.55,6125
"41,655.92",43.77,5799
"41,655.96",45.08,5378
"41,656.00",36.93,5025
"41,656.04",32.64,4747
"41,656.08",31.02,4576
"41,656.13",29.68,4495
"41,656.17",33.9,4507
"41,656.21",35.53,4744
"41,656.25",54.33,5251
"41,656.29",56.56,5830
"41,656.33",50.11,6181
"41,656.38",56.03,6427
"41,656.42",55.27,6562
"41,656.46",51.15,6599
"41,656.50",47.22,6600
"41,656.54",44.94,6583
"41,656.58",42.99,6539
"41,656.63",42.44,6537
"41,656.67",43.29,6587
"41,656.71",58.21,6761
"41,656.75",54.65,6698
"41,656.79",49.66,6507
"41,656.83",43.6,6273
"41,656.88",43.75,6039
"41,656.92",42.93,5765
"41,656.96",39.61,5379
"41,657.00",55.54,4964
"41,657.04",45.93,4735
"41,657.08",41.92,4579
"41,657.13",41.09,4490
"41,657.17",39.56,4398
"41,657.21",40.28,4385
"41,657.25",51.61,4511
"41,657.29",55.31,4801
"41,657.33",58.33,5084
"41,657.38",64.52,5362
"41,657.42",66,5561
"41,657.46",65.29,5650
"41,657.50",62.66,5670
"41,657.54",61.11,5662
"41,657.58",60.99,5633
"41,657.63",57.75,5634
"41,657.67",57.54,5697
"41,657.71",78.46,5976
"41,657.75",69.46,6082
"41,657.79",68.83,6018
"41,657.83",61.14,5901
"41,657.88",61.17,5767
"41,657.92",59.95,5611
"41,657.96",59.93,5367
"41,658.00",61.62,5028
"41,658.04",55.14,4807
"41,658.08",51.39,4640
"41,658.13",51.68,4562
"41,658.17",54.09,4487
"41,658.21",55.52,4423
"41,658.25",56.44,4449
"41,658.29",59.18,4630
"41,658.33",60.89,4868
"41,658.38",68.35,5166
"41,658.42",80.62,5393
"41,658.46",80.37,5511
"41,658.50",71.54,5562
"41,658.54",70.76,5581
"41,658.58",66.37,5577
"41,658.63",66.53,5595
"41,658.67",85.76,5677
"41,658.71",132.32,5958
"41,658.75",115.87,6083
"41,658.79",104.89,6054
"41,658.83",95.32,5962
"41,658.88",80.21,5808
"41,658.92",72.12,5593
"41,658.96",61.5,5305
"41,659.00",78.29,4954
"41,659.04",68.22,4727
"41,659.08",67.45,4575
"41,659.13",63.59,4494
"41,659.17",69.23,4479
"41,659.21",75.25,4628
"41,659.25",122.25,4919
"41,659.29",134.59,5266
"41,659.33",135.6,5590
"41,659.38",146.49,5884
"41,659.42",150.27,6088
"41,659.46",146.08,6185
"41,659.50",135.47,6199
"41,659.54",129.18,6202
"41,659.58",125.47,6192
"41,659.63",125.76,6217
"41,659.67",155.38,6285
"41,659.71",223.45,6514
"41,659.75",203.68,6539
"41,659.79",167.84,6417
"41,659.83",145.22,6257
"41,659.88",133.3,6039
"41,659.92",115.46,5748
"41,659.96",107.49,5355
"41,660.00",165.85,5019
"41,660.04",149.93,4806
"41,660.08",148.6,4673
"41,660.13",147.62,4617
"41,660.17",159.25,4627
"41,660.21",185.84,4878
"41,660.25",250.61,5411
"41,660.29",313.47,5980
"41,660.33",294.47,6354
"41,660.38",288.36,6640
"41,660.42",256.85,6795
"41,660.46",240.18,6860
"41,660.50",227.42,6886
"41,660.54",228.1,6887
"41,660.58",214.8,6875
"41,660.63",238.36,6912
"41,660.67",283.02,7004
"41,660.71",380.44,7195
"41,660.75",326.82,7164
"41,660.79",290.61,6984
"41,660.83",276.84,6765
"41,660.88",254.91,6494
"41,660.92",217.08,6138
"41,660.96",190.37,5675
"41,661.00",202.04,5394
"41,661.04",183.84,5165
"41,661.08",184.87,5030
"41,661.13",184.72,4966
"41,661.17",192.05,5012
"41,661.21",224.97,5272
"41,661.25",296.1,5802
"41,661.29",344.7,6365
"41,661.33",319.67,6742
"41,661.38",329.21,7011
"41,661.42",308.4,7152
"41,661.46",278.74,7234
"41,661.50",254.1,7258
"41,661.54",235.78,7238
"41,661.58",239.78,7215
"41,661.63",256.22,7240
"41,661.67",294.16,7310
"41,661.71",377.02,7510
"41,661.75",364.7,7503
"41,661.79",317.13,7324
"41,661.83",303.66,7116
"41,661.88",278.91,6840
"41,661.92",245.54,6487
"41,661.96",202.74,6036
"41,662.00",259.89,5672
"41,662.04",222.64,5374
"41,662.08",219.72,5195
"41,662.13",226.22,5123
"41,662.17",252.07,5192
"41,662.21",300,5457
"41,662.25",354.02,5994
"41,662.29",438.23,6529
"41,662.33",407.78,6910
"41,662.38",385.91,7187
"41,662.42",399.55,7327
"41,662.46",360.12,7380
"41,662.50",328.6,7400
"41,662.54",326.92,7372
"41,662.58",331.5,7329
"41,662.63",338.94,7348
"41,662.67",435.31,7410
"41,662.71",516.81,7569
"41,662.75",500,7559
"41,662.79",453.47,7382
"41,662.83",450,7149
"41,662.88",375.69,6865
"41,662.92",331.11,6505
"41,662.96",286.96,6038
"41,663.00",346.17,5697
"41,663.04",303.8,5395
"41,663.08",300.17,5216
"41,663.13",317.06,5137
"41,663.17",328.26,5200
"41,663.21",355.7,5472
"41,663.25",447.02,6016
"41,663.29",453.93,6562
"41,663.33",448.32,6950
"41,663.38",449.93,7255
"41,663.42",466.13,7417
"41,663.46",423.26,7489
"41,663.50",380.58,7497
"41,663.54",351.03,7451
"41,663.58",347.69,7384
"41,663.63",370.88,7368
"41,663.67",450,7408
"41,663.71",543.52,7553
"41,663.75",512.26,7525
"41,663.79",459.85,7332
"41,663.83",449.06,7094
"41,663.88",390.08,6835
"41,663.92",329.85,6534
"41,663.96",312.59,6139
"41,664.00",194.16,5714
"41,664.04",180.49,5421
"41,664.08",180.44,5236
"41,664.13",164.04,5140
"41,664.17",165.95,5053
"41,664.21",175.38,5021
"41,664.25",183.77,5137
"41,664.29",206.66,5396
"41,664.33",215.19,5697
"41,664.38",237.65,6008
"41,664.42",228.69,6221
"41,664.46",210.87,6331
"41,664.50",201.3,6351
"41,664.54",197.57,6320
"41,664.58",196.18,6272
"41,664.63",196.41,6253
"41,664.67",212.87,6308
"41,664.71",341.6,6543
"41,664.75",292.67,6652
"41,664.79",224.85,6583
"41,664.83",213.15,6461
"41,664.88",205.99,6323
"41,664.92",195.28,6158
"41,664.96",194.01,5909
"41,665.00",311.1,5553
"41,665.04",263.83,5305
"41,665.08",241.27,5141
"41,665.13",230.82,5070
"41,665.17",227.7,4978
"41,665.21",237.81,4889
"41,665.25",271.4,4931
"41,665.29",269.7,5134
"41,665.33",357.19,5405
"41,665.38",417.18,5732
"41,665.42",396.88,5977
"41,665.46",447.9,6119
"41,665.50",451.6,6164
"41,665.54",441.64,6151
"41,665.58",440.9,6112
"41,665.63",423.39,6110
"41,665.67",440.07,6230
"41,665.71",528.68,6521
"41,665.75",513.43,6669
"41,665.79",450,6648
"41,665.83",395.48,6570
"41,665.88",388.62,6425
"41,665.92",371.59,6214
"41,665.96",301.01,5911
"41,666.00",383.5,5532
"41,666.04",258.77,5211
"41,666.08",246.61,5022
"41,666.13",238.33,4935
"41,666.17",244.64,4977
"41,666.21",320.75,5168
"41,666.25",410.68,5630
"41,666.29",469.14,6123
"41,666.33",490,6472
"41,666.38",513.19,6735
"41,666.42",490.66,6884
"41,666.46",480.81,6971
"41,666.50",478.11,6991
"41,666.54",475.59,6977
"41,666.58",474.58,6948
"41,666.63",474.53,6951
"41,666.67",481.99,7026
"41,666.71",566.33,7189
"41,666.75",564.07,7208
"41,666.79",498.29,7105
"41,666.83",462.65,6942
"41,666.88",480.25,6713
"41,666.92",434.49,6389
"41,666.96",331.21,5973
"41,667.00",343.35,5618
"41,667.04",281.47,5314
"41,667.08",270.35,5137
"41,667.13",267.64,5056
"41,667.17",290.65,5105
"41,667.21",374.57,5348
"41,667.25",466.51,5858
"41,667.29",504.46,6377
"41,667.33",474.88,6742
"41,667.38",531.08,7020
"41,667.42",530.82,7185
"41,667.46",529.8,7267
"41,667.50",528.89,7277
"41,667.54",528.42,7249
"41,667.58",518.56,7222
"41,667.63",511,7220
"41,667.67",483.91,7327
"41,667.71",597.82,7472
"41,667.75",604.64,7481
"41,667.79",557.18,7328
"41,667.83",497.49,7113
"41,667.88",499.02,6838
"41,667.92",400.69,6470
"41,667.96",366.95,6010
"41,668.00",267.83,5624
"41,668.04",259.47,5329
"41,668.08",248.16,5150
"41,668.13",249.09,5066
"41,668.17",260.58,5105
"41,668.21",331.16,5341
"41,668.25",440.46,5832
"41,668.29",457.59,6339
"41,668.33",580.19,6699
"41,668.38",597.04,6949
"41,668.42",530.82,7116
"41,668.46",529.8,7195
"41,668.50",404.76,7204
"41,668.54",400,7190
"41,668.58",394.4,7170
"41,668.63",404.39,7178
"41,668.67",400,7234
"41,668.71",531.67,7392
"41,668.75",542.95,7421
"41,668.79",480.89,7283
"41,668.83",422.79,7089
"41,668.88",367.02,6822
"41,668.92",321.88,6473
"41,668.96",273.75,6030
"41,669.00",160.15,5627
"41,669.04",148.13,5308
"41,669.08",134.06,5121
"41,669.13",136.43,5033
"41,669.17",151.5,5075
"41,669.21",182.63,5321
"41,669.25",224.67,5817
"41,669.29",267.6,6324
"41,669.33",249.47,6660
"41,669.38",250.99,6903
"41,669.42",222.63,7044
"41,669.46",217.55,7107
"41,669.50",212.27,7098
"41,669.54",212.37,7079
"41,669.58",208.02,7065
"41,669.63",210,7063
"41,669.67",238.27,7110
"41,669.71",346.43,7258
"41,669.75",283.11,7282
"41,669.79",246.22,7141
"41,669.83",222.07,6936
"41,669.88",207.9,6661
"41,669.92",161.06,6310
"41,669.96",145.67,5868
"41,670.00",75.16,5470
"41,670.04",72.24,5144
"41,670.08",63.43,4950
"41,670.13",61.45,4856
"41,670.17",67.09,4877
"41,670.21",73.67,5096
"41,670.25",118.57,5587
"41,670.29",122.98,6113
"41,670.33",121.29,6469
"41,670.38",131.43,6724
"41,670.42",134.28,6874
"41,670.46",121.82,6927
"41,670.50",108.7,6900
"41,670.54",107.69,6873
"41,670.58",97.61,6855
"41,670.63",97.61,6857
"41,670.67",115.96,6897
"41,670.71",140.72,7005
"41,670.75",126.2,6991
"41,670.79",93.13,6823
"41,670.83",77.11,6610
"41,670.88",62.56,6380
"41,670.92",63.24,6098
"41,670.96",60.95,5712
"41,671.00",54.45,5311
"41,671.04",56.93,5052
"41,671.08",56.03,4884
"41,671.13",54.94,4796
"41,671.17",55.02,4697
"41,671.21",52.47,4647
"41,671.25",61.02,4770
"41,671.29",50.82,5062
"41,671.33",52.62,5344
"41,671.38",64.03,5603
"41,671.42",67.24,5774
"41,671.46",64.13,5839
"41,671.50",54.72,5829
"41,671.54",49.15,5803
"41,671.58",49.05,5774
"41,671.63",50.89,5726
"41,671.67",51.45,5784
"41,671.71",72.96,6003
"41,671.75",72.88,6149
"41,671.79",60.29,6107
"41,671.83",52.04,6016
"41,671.88",49.18,5890
"41,671.92",48.84,5722
"41,671.96",56,5464
"41,672.00",58.03,5117
"41,672.04",53.02,4862
"41,672.08",51.35,4693
"41,672.13",55.64,4610
"41,672.17",56.61,4518
"41,672.21",52.67,4423
"41,672.25",54,4477
"41,672.29",49.82,4706
"41,672.33",51.13,4958
"41,672.38",59.98,5205
"41,672.42",68.04,5378
"41,672.46",56.52,5468
"41,672.50",55.18,5486
"41,672.54",55.49,5486
"41,672.58",51.03,5480
"41,672.63",51.36,5450
"41,672.67",59.88,5529
"41,672.71",72.65,5809
"41,672.75",72.43,5970
"41,672.79",68.22,5954
"41,672.83",54.44,5896
"41,672.88",51.36,5780
"41,672.92",52.92,5581
"41,672.96",48.96,5281
"41,673.00",52.17,4959
"41,673.04",44.67,4726
"41,673.08",44.23,4585
"41,673.13",50.1,4518
"41,673.17",55.03,4542
"41,673.21",58.67,4764
"41,673.25",74.03,5279
"41,673.29",94.77,5864
"41,673.33",95.93,6258
"41,673.38",73.14,6513
"41,673.42",69.7,6648
"41,673.46",68.38,6707
"41,673.50",65.67,6725
"41,673.54",64.38,6724
"41,673.58",61.57,6723
"41,673.63",70.23,6710
"41,673.67",70.08,6779
"41,673.71",109.32,6934
"41,673.75",114.43,6947
"41,673.79",90.29,6765
"41,673.83",70.42,6568
"41,673.88",61.62,6303
"41,673.92",55.04,5925
"41,673.96",58,5480
"41,674.00",54.64,5180
"41,674.04",52.28,4914
"41,674.08",49.39,4755
"41,674.13",48.96,4677
"41,674.17",49.49,4705
"41,674.21",64.08,4957
"41,674.25",74.37,5471
"41,674.29",85.17,6018
"41,674.33",85.13,6404
"41,674.38",74.29,6631
"41,674.42",86.09,6737
"41,674.46",83,6758
"41,674.50",73.88,6749
"41,674.54",73.52,6723
"41,674.58",69.56,6695
"41,674.63",69.53,6686
"41,674.67",87.35,6751
"41,674.71",91.63,6902
"41,674.75",94.87,6950
"41,674.79",83.34,6790
"41,674.83",84.87,6574
"41,674.88",78.66,6302
"41,674.92",62.66,5935
"41,674.96",55,5457
"41,675.00",47.68,5189
"41,675.04",44.45,4930
"41,675.08",44.93,4776
"41,675.13",44.18,4690
"41,675.17",39.27,4702
"41,675.21",48.55,4928
"41,675.25",71.3,5422
"41,675.29",85.72,5965
"41,675.33",84.96,6340
"41,675.38",86.35,6576
"41,675.42",88.17,6689
"41,675.46",87.23,6724
"41,675.50",82.92,6732
"41,675.54",80.56,6716
"41,675.58",73.34,6705
"41,675.63",73.99,6699
"41,675.67",90.83,6772
"41,675.71",102.53,6910
"41,675.75",113.78,6924
"41,675.79",90.26,6734
"41,675.83",84.38,6530
"41,675.88",71.98,6292
"41,675.92",61.79,5955
"41,675.96",56,5524
"41,676.00",78.81,5189
"41,676.04",69.26,4949
"41,676.08",62.6,4805
"41,676.13",62.26,4737
"41,676.17",65.17,4767
"41,676.21",101.63,5024
"41,676.25",176.33,5547
"41,676.29",194.28,6106
"41,676.33",211,6504
"41,676.38",185.05,6741
"41,676.42",191.9,6867
"41,676.46",151.56,6894
"41,676.50",129.74,6900
"41,676.54",127.25,6874
"41,676.58",126.65,6835
"41,676.63",126.24,6806
"41,676.67",145.4,6850
"41,676.71",186.1,7010
"41,676.75",191.5,7091
"41,676.79",182.16,6920
"41,676.83",154.04,6707
"41,676.88",143.62,6448
"41,676.92",130.28,6102
"41,676.96",126.47,5664
"41,677.00",141.14,5362
"41,677.04",121.58,5101
"41,677.08",141.62,4951
"41,677.13",139.53,4873
"41,677.17",157.13,4926
"41,677.21",166.15,5164
"41,677.25",237.54,5660
"41,677.29",246.21,6197
"41,677.33",245.87,6584
"41,677.38",213.78,6826
"41,677.42",223.43,6955
"41,677.46",221.91,6987
"41,677.50",210.46,6997
"41,677.54",206.17,6943
"41,677.58",195.85,6873
"41,677.63",196.68,6824
"41,677.67",210.87,6847
"41,677.71",262.41,6983
"41,677.75",280.51,7047
"41,677.79",231.04,6863
"41,677.83",221.09,6656
"41,677.88",196.77,6427
"41,677.92",199.36,6152
"41,677.96",180.5,5793
"41,678.00",135.13,5346
"41,678.04",123.69,5134
"41,678.08",126.56,5003
"41,678.13",119.57,4941
"41,678.17",119.89,4868
"41,678.21",129.53,4822
"41,678.25",156.61,4926
"41,678.29",152.99,5219
"41,678.33",157.18,5529
"41,678.38",166.03,5809
"41,678.42",163.17,5994
"41,678.46",158.88,6077
"41,678.50",148.04,6073
"41,678.54",140.33,6024
"41,678.58",134.44,5962
"41,678.63",130.35,5922
"41,678.67",147.9,5963
"41,678.71",188,6204
"41,678.75",190.48,6361
"41,678.79",158.4,6292
"41,678.83",150.67,6175
"41,678.88",139.95,6053
"41,678.92",133.58,5892
"41,678.96",122.46,5660
"41,679.00",102.23,5341
"41,679.04",98.66,5111
"41,679.08",95.05,4957
"41,679.13",89.33,4897
"41,679.17",96.47,4826
"41,679.21",122.58,4743
"41,679.25",86.14,4776
"41,679.29",87.13,4995
"41,679.33",107.61,5263
"41,679.38",112.56,5528
"41,679.42",113.07,5731
"41,679.46",121.16,5834
"41,679.50",115.94,5864
"41,679.54",105.28,5844
"41,679.58",98.56,5811
"41,679.63",101.44,5791
"41,679.67",120.55,5858
"41,679.71",154.94,6112
"41,679.75",161.49,6289
"41,679.79",140.09,6260
"41,679.83",125.85,6185
"41,679.88",111.61,6066
"41,679.92",101.95,5861
"41,679.96",93.2,5596
"41,680.00",106.22,5286
"41,680.04",97.52,5023
"41,680.08",93.98,4870
"41,680.13",93.6,4808
"41,680.17",97.2,4872
"41,680.21",125.42,5124
"41,680.25",141.64,5605
"41,680.29",145.64,6138
"41,680.33",158.91,6510
"41,680.38",151.77,6771
"41,680.42",199.74,6924
"41,680.46",178.63,7001
"41,680.50",171.43,7026
"41,680.54",163.59,6999
"41,680.58",146.85,6968
"41,680.63",148.41,6953
"41,680.67",170.36,6990
"41,680.71",229.16,7131
"41,680.75",242.02,7218
"41,680.79",213.86,7080
"41,680.83",185.2,6887
"41,680.88",170.22,6627
"41,680.92",132.89,6263
"41,680.96",127.54,5843
"41,681.00",149.72,5443
"41,681.04",146.46,5161
"41,681.08",142.56,5004
"41,681.13",143.79,4937
"41,681.17",143.1,4992
"41,681.21",172.04,5256
"41,681.25",214.62,5763
"41,681.29",234.79,6267
"41,681.33",232.34,6634
"41,681.38",226.41,6891
"41,681.42",224.88,7036
"41,681.46",217.39,7090
