price,load
453.93,6562
448.32,6950
449.93,7255
466.13,7417
423.26,7489
380.58,7497
351.03,7451
347.69,7384
370.88,7368
450,7408
543.52,7553
512.26,7525
459.85,7332
449.06,7094
390.08,6835
329.85,6534
312.59,6139
194.16,5714
180.49,5421
180.44,5236
164.04,5140
165.95,5053
175.38,5021
183.77,5137
206.66,5396
215.19,5697
237.65,6008
228.69,6221
210.87,6331
201.3,6351
197.57,6320
196.18,6272
196.41,6253
212.87,6308
341.6,6543
292.67,6652
224.85,6583
213.15,6461
205.99,6323
195.28,6158
194.01,5909
311.1,5553
263.83,5305
241.27,5141
230.82,5070
227.7,4978
237.81,4889
271.4,4931
269.7,5134
357.19,5405
417.18,5732
396.88,5977
447.9,6119
451.6,6164
441.64,6151
440.9,6112
423.39,6110
440.07,6230
528.68,6521
513.43,6669
450,6648
395.48,6570
388.62,6425
371.59,6214
301.01,5911
383.5,5532
258.77,5211
246.61,5022
238.33,4935
244.64,4977
320.75,5168
410.68,5630
469.14,6123
490,6472
513.19,6735
490.66,6884
480.81,6971
478.11,6991
475.59,6977
474.58,6948
474.53,6951
481.99,7026
566.33,7189
564.07,7208
498.29,7105
462.65,6942
480.25,6713
434.49,6389
331.21,5973
343.35,5618
281.47,5314
270.35,5137
267.64,5056
290.65,5105
374.57,5348
466.51,5858
504.46,6377
474.88,6742
531.08,7020
530.82,7185
529.8,7267
528.89,7277
528.42,7249
518.56,7222
511,7220
483.91,7327
597.82,7472
604.64,7481
557.18,7328
497.49,7113
499.02,6838
400.69,6470
366.95,6010
267.83,5624
259.47,5329
248.16,5150
249.09,5066
260.58,5105
331.16,5341
440.46,5832
457.59,6339
580.19,6699
597.04,6949
530.82,7116
529.8,7195
404.76,7204
400,7190
394.4,7170
404.39,7178
400,7234
531.67,7392
542.95,7421
480.89,7283
422.79,7089
367.02,6822
321.88,6473
273.75,6030
160.15,5627
148.13,5308
134.06,5121
136.43,5033
151.5,5075
182.63,5321
224.67,5817
267.6,6324
249.47,6660
250.99,6903
222.63,7044
217.55,7107
212.27,7098
212.37,7079
208.02,7065
210,7063
238.27,7110
346.43,7258
283.11,7282
246.22,7141
222.07,6936
207.9,6661
161.06,6310
145.67,5868
75.16,5470
72.24,5144
63.43,4950
61.45,4856
67.09,4877
73.67,5096
118.57,5587
122.98,6113
121.29,6469
131.43,6724
134.28,6874
121.82,6927
108.7,6900
107.69,6873
97.61,6855
97.61,6857
115.96,6897
140.72,7005
126.2,6991
93.13,6823
77.11,6610
62.56,6380
63.24,6098
60.95,5712
54.45,5311
56.93,5052
56.03,4884
54.94,4796
55.02,4697
52.47,4647
61.02,4770
50.82,5062
52.62,5344
64.03,5603
67.24,5774
64.13,5839
54.72,5829
49.15,5803
49.05,5774
50.89,5726
51.45,5784
72.96,6003
72.88,6149
60.29,6107
52.04,6016
49.18,5890
48.84,5722
56,5464
58.03,5117
53.02,4862
51.35,4693
55.64,4610
56.61,4518
52.67,4423
54,4477
49.82,4706
51.13,4958
59.98,5205
68.04,5378
56.52,5468
55.18,5486
55.49,5486
51.03,5480
51.36,5450
59.88,5529
72.65,5809
72.43,5970
68.22,5954
54.44,5896
51.36,5780
52.92,5581
48.96,5281
52.17,4959
44.67,4726
44.23,4585
50.1,4518
55.03,4542
58.67,4764
74.03,5279
94.77,5864
95.93,6258
73.14,6513
69.7,6648
68.38,6707
65.67,6725
64.38,6724
61.57,6723
70.23,6710
70.08,6779
109.32,6934
114.43,6947
90.29,6765
70.42,6568
61.62,6303
55.04,5925
58,5480
54.64,5180
52.28,4914
49.39,4755
48.96,4677
49.49,4705
64.08,4957
74.37,5471
85.17,6018
85.13,6404
74.29,6631
86.09,6737
83,6758
73.88,6749
73.52,6723
69.56,6695
69.53,6686
87.35,6751
91.63,6902
94.87,6950
83.34,6790
84.87,6574
78.66,6302
62.66,5935
55,5457
47.68,5189
44.45,4930
44.93,4776
44.18,4690
39.27,4702
48.55,4928
71.3,5422
85.72,5965
84.96,6340
86.35,6576
88.17,6689
87.23,6724
82.92,6732
80.56,6716
73.34,6705
73.99,6699
90.83,6772
102.53,6910
113.78,6924
90.26,6734
84.38,6530
71.98,6292
61.79,5955
56,5524
78.81,5189
69.26,4949
62.6,4805
62.26,4737
65.17,4767
101.63,5024
176.33,5547
194.28,6106
211,6504
185.05,6741
191.9,6867
151.56,6894
129.74,6900
127.25,6874
126.65,6835
126.24,6806
145.4,6850
186.1,7010
191.5,7091
182.16,6920
154.04,6707
143.62,6448
130.28,6102
126.47,5664
141.14,5362
121.58,5101
141.62,4951
139.53,4873
157.13,4926
166.15,5164
237.54,5660
246.21,6197
245.87,6584
213.78,6826
223.43,6955
221.91,6987
210.46,6997
206.17,6943
195.85,6873
196.68,6824
210.87,6847
262.41,6983
280.51,7047
231.04,6863
221.09,6656
196.77,6427
199.36,6152
180.5,5793
135.13,5346
123.69,5134
126.56,5003
119.57,4941
119.89,4868
129.53,4822
156.61,4926
152.99,5219
157.18,5529
166.03,5809
163.17,5994
158.88,6077
148.04,6073
140.33,6024
134.44,5962
130.35,5922
147.9,5963
188,6204
190.48,6361
158.4,6292
150.67,6175
139.95,6053
133.58,5892
122.46,5660
102.23,5341
98.66,5111
95.05,4957
89.33,4897
96.47,4826
122.58,4743
86.14,4776
87.13,4995
107.61,5263
112.56,5528
113.07,5731
121.16,5834
115.94,5864
105.28,5844
98.56,5811
101.44,5791
120.55,5858
154.94,6112
161.49,6289
140.09,6260
125.85,6185
111.61,6066
101.95,5861
93.2,5596
106.22,5286
97.52,5023
93.98,4870
93.6,4808
97.2,4872
125.42,5124
141.64,5605
145.64,6138
158.91,6510
151.77,6771
199.74,6924
178.63,7001
171.43,7026
163.59,6999
146.85,6968
148.41,6953
170.36,6990
229.16,7131
242.02,7218
213.86,7080
185.2,6887
170.22,6627
132.89,6263
127.54,5843
149.72,5443
146.46,5161
142.56,5004
143.79,4937
143.1,4992
172.04,5256
214.62,5763
234.79,6267
232.34,6634
226.41,6891
224.88,7036
217.39,7090
212.98,7101
201.86,7067
198.97,7033
190.65,7012
218.8,7033
261.64,7180
284.11,7289
263.05,7151
239.83,6957
217.19,6694
203.73,6325
168.33,5895
165.09,5498
162.44,5225
159.23,5066
164.98,4991
170.52,5049
199.13,5337
245.27,5860
260.6,6366
239.2,6739
221.83,6999
220.61,7143
215.4,7194
214.59,7182
212.34,7158
182.12,7120
182.17,7109
214.87,7144
238.85,7259
260.25,7347
244.27,7193
220.98,6960
200.73,6676
182.19,6283
159.69,5819
117.8,5379
107.99,5072
107.84,4891
104.36,4801
104.83,4842
116.41,5081
160.9,5575
186.56,6080
185.24,6454
203.86,6707
171.56,6847
165.45,6899
165.15,6926
157.29,6919
148.13,6911
147.87,6916
161.02,6952
177.35,7035
177.41,7058
165,6880
154.64,6662
131.93,6404
126.55,6048
104.3,5620
65.94,5167
66.33,4869
60.83,4686
57.92,4603
62.34,4632
63.26,4867
86.86,5380
102.84,5917
105.65,6321
114.97,6577
118.62,6730
102.81,6791
94.4,6798
89.76,6765
86.61,6732
85.58,6708
92.8,6723
121.09,6814
117.65,6879
100.24,6708
90.25,6506
86.54,6289
77.68,5992
73.16,5620
77.3,5199
75.21,4955
78.44,4785
67.35,4708
69,4637
73.11,4608
73.25,4739
68.52,5022
75.93,5329
83.19,5613
87.3,5795
87.73,5874
81.17,5883
89.16,5862
86.45,5831
79.57,5811
87,5853
109.1,6066
134.99,6260
113.53,6216
102.49,6116
98.94,6010
77.99,5837
86.44,5606
100.75,5172
91.8,4945
85.59,4794
81.03,4729
82.85,4664
80.16,4587
86.5,4599
90.07,4757
99.33,5021
109.8,5317
146.84,5548
119.14,5660
114.25,5704
117.69,5729
118.22,5715
113.47,5706
126.26,5767
128.86,6011
167.68,6254
146.27,6256
128.56,6186
158.83,6075
110.91,5869
106.55,5589
121.86,5248
112.48,4995
109.88,4829
110.05,4753
109,4757
118.45,4889
129.84,5110
144.57,5318
143.54,5617
140.48,5931
173,6164
167.33,6280
141.92,6294
139,6267
136.75,6220
126.93,6163
140.74,6178
181.16,6318
174.26,6547
170.95,6486
155.14,6348
151.77,6154
117.22,5875
106.27,5502
102.9,5222
99.77,4940
97.26,4765
96.27,4692
98.41,4721
101.98,4934
133.85,5385
153.93,5859
154.54,6193
145.96,6446
150.01,6580
138.85,6630
123.38,6643
122.26,6648
117.24,6612
107.38,6602
113.53,6644
170.09,6739
180.75,6831
155.91,6710
133.8,6537
112.01,6301
99.77,5974
97.89,5558
72.2,5117
71.15,4835
66.84,4664
66.07,4597
66.9,4626
76.84,4875
93.24,5356
106,5880
98.43,6231
100.75,6493
90.11,6628
86.74,6679
75.55,6686
83.5,6684
79.82,6657
74.23,6653
78.75,6661
89.14,6744
101.18,6821
87.09,6678
85.32,6487
85.29,6238
70.13,5893
63.77,5460
67.8,5085
67.49,4778
60.41,4613
60.08,4542
65.65,4567
68.18,4829
93.16,5335
97.12,5864
93.66,6220
95.2,6483
95.25,6613
89.39,6666
82.98,6672
80.69,6670
76.96,6626
75.93,6617
80.71,6636
97.08,6704
97.17,6782
95.25,6619
81.5,6399
74.74,6150
69.51,5818
60.07,5384
53.74,4988
57.94,4672
53.68,4501
53.66,4411
53.22,4416
56.82,4653
71.66,5146
78.78,5689
78.72,6080
83.45,6359
93.86,6510
87.9,6569
78.75,6571
78.71,6553
78.06,6505
78.06,6484
78.7,6496
89.19,6540
114.96,6573
86.23,6411
78.06,6203
76.15,6001
66.3,5739
58.13,5380
63.02,5013
58.11,4737
64.08,4579
60.56,4487
59.95,4393
59.63,4376
64.86,4473
69.5,4713
72.13,5035
80.51,5325
90.16,5533
81.44,5636
72.84,5646
69.99,5620
68.41,5550
66.83,5497
77.18,5498
89.62,5677
124.6,5879
92.74,5843
92.59,5731
88.79,5611
76.65,5453
64.95,5214
81.57,4945
76.04,4685
69.74,4528
69.71,4449
68.68,4354
64.77,4287
66.44,4295
65.79,4472
65.38,4749
89.31,5030
81.46,5235
87.4,5357
82.49,5399
86.22,5389
80.01,5373
75.82,5355
83.91,5392
107.45,5598
148.08,5809
118.5,5801
126.06,5723
107.27,5617
87.93,5422
89.32,5145
89.01,4873
83.87,4609
81.65,4470
80.58,4397
83.55,4430
87.69,4667
130.22,5131
145.57,5668
135.8,6115
164.01,6390
166.81,6557
175.02,6655
164.97,6684
158.99,6660
156.87,6625
146.16,6633
153.81,6655
171.24,6746
190.36,6833
179.59,6701
162.51,6503
153.49,6263
143.31,5920
111.09,5498
97.26,5191
82.25,4898
77.91,4754
76.07,4672
82.84,4702
118.63,4964
160.12,5427
185.32,5927
159.7,6363
163.56,6635
169.96,6775
182.02,6845
169.95,6854
163.07,6838
176.77,6785
156.95,6782
159.94,6770
164.22,6834
192.09,6936
172.94,6809
163.3,6608
150.96,6355
133.73,5988
150.57,5559
94.35,5220
103.22,4960
106.4,4818
105.08,4726
102.28,4743
116.99,4979
158.25,5411
170.43,5897
177.36,6314
171.04,6579
199.1,6716
172.36,6787
160.33,6815
180,6776
174.94,6727
141.5,6731
157.7,6751
208.31,6844
241.69,6961
225.46,6842
209.87,6674
176.24,6465
141.64,6141
140.38,5716
144.02,5405
138.86,5122
129.22,4957
128.97,4865
141.7,4913
158.25,5166
209.18,5603
223,6065
224.82,6464
217.57,6723
218.89,6852
216.5,6905
206.71,6926
207.12,6896
206.59,6834
206.19,6847
210.09,6855
222.1,6901
269.35,7044
250.75,6944
220.41,6768
210.53,6557
194.84,6245
174.98,5822
167.7,5430
168.2,5183
164.07,5032
167.76,4944
173.17,4984
204.21,5250
220.88,5715
258.91,6207
235.41,6619
232.5,6906
230.57,7056
218.56,7122
209.78,7132
209.77,7083
209.16,7000
207.48,6970
208.43,6959
235.54,7015
274.14,7128
252.47,6984
226.6,6785
210.84,6576
202.08,6282
184.71,5905
164.07,5532
169.49,5277
163.87,5104
158.61,5000
160.53,4900
166.94,4837
161.77,4905
170.88,5182
173.66,5471
189.13,5714
188.1,5851
187.36,5899
169.55,5891
161.53,5845
149.8,5774
147.88,5744
161.46,5761
201.01,5938
212.14,6120
202.48,6134
190.39,6062
162.87,5968
144.58,5813
127.89,5572
166.97,5226
160.35,4981
141.78,4806
137.25,4720
134.6,4616
134.17,4522
132.64,4543
136.27,4764
173.59,5003
179.17,5248
176.69,5416
179.38,5504
172.63,5535
166.63,5540
161.82,5510
155.33,5515
177.42,5569
205.73,5747
225.58,5954
213.73,5991
201.96,5948
183.31,5861
172.98,5675
151.31,5406
166.43,5130
164.49,4899
162.78,4749
169.74,4677
165.63,4735
177.87,4955
212.94,5447
218.5,6038
213.64,6422
216.15,6687
219.06,6827
218.22,6886
216.44,6905
211.03,6902
210.85,6862
210.83,6867
217.45,6915
248.41,6988
284.13,7125
269.85,7047
255.98,6863
239.05,6601
207.79,6214
194.11,5724
207,5430
188.27,5144
183.5,4962
187.26,4878
192.15,4943
217.56,5180
272.87,5678
298.67,6204
271.34,6568
258.62,6801
259.92,6918
246.87,6939
240.89,6941
223.28,6924
214.41,6868
218.21,6860
243.54,6903
271.3,6948
325.46,7084
291.65,7010
276.12,6798
240.53,6523
214.41,6127
198.91,5632
204.11,5305
192.69,5029
187.35,4851
192.3,4766
203.31,4813
216.67,5029
260.54,5508
272.36,6030
250.75,6389
244.07,6618
237.3,6735
228.45,6762
213.62,6752
215.49,6749
209.76,6711
213.62,6709
218.62,6737
263.68,6799
289,6931
265.98,6860
230.96,6653
214.28,6391
207.7,6019
195.95,5577
142.83,5213
139.31,4963
147.09,4814
161.03,4748
166.12,4788
189.4,5031
232.85,5522
247.49,6062
233.79,6426
210.64,6660
198.82,6785
172.68,6814
153.18,6810
158.84,6813
152.24,6778
144.28,6769
163.2,6787
207.56,6841
250.81,6963
221.83,6887
206.77,6670
174.88,6402
173.7,6032
153.53,5588
135.32,5262
118.15,4958
112.11,4775
110.77,4696
115.76,4727
137.72,4937
200.99,5407
212.27,5943
206.36,6314
187.35,6563
167.04,6694
161.27,6743
150.18,6719
145.3,6707
137.4,6652
139.85,6641
131.68,6650
161.32,6662
183.95,6727
165.38,6617
135.05,6397
127.41,6175
130.08,5880
114.07,5503
86.4,5113
75.29,4869
70.76,4702
69.23,4624
69.14,4518
74.27,4482
76.35,4578
74.3,4847
81.88,5127
92.04,5373
90.91,5529
86.81,5602
77.45,5586
75,5562
73.26,5496
71.1,5474
74.04,5494
88.01,5644
121.63,5852
113.43,5878
89.04,5784
82.42,5685
74.4,5516
70.19,5276
65.46,4934
62.66,4633
61.76,4450
61.61,4355
62.95,4380
61.43,4444
62.48,4599
66.24,4781
67.93,4971
68.3,5138
67.41,5260
66.2,5336
65.68,5331
65.28,5315
65.35,5297
67.65,5296
68.53,5316
88.74,5433
104.68,5650
88.52,5720
75.16,5632
66.6,5468
66.07,5161
60.55,4787
58.25,4609
53.89,4461
57.66,4389
62.73,4380
67.43,4610
99.48,5060
127.15,5656
89.84,6086
88.39,6357
79.59,6474
74.73,6527
69.33,6546
67,6521
65.5,6503
68.42,6484
68.49,6477
93.92,6468
90.73,6385
107.02,6452
97,6394
80.93,6155
67.87,5828
66.96,5349
57.47,4855
52.71,4527
49.21,4356
48.52,4267
48.6,4250
55.95,4494
67.43,4938
93.51,5552
65.94,5978
67.74,6239
69.66,6346
67.73,6384
64.45,6371
62.5,6337
62.5,6314
66,6290
67.42,6294
89.32,6267
91.16,6187
95.37,6269
90.5,6227
71.94,5992
63.95,5671
58.96,5189
55.28,4708
52.49,4442
49.73,4298
48.6,4215
50.95,4196
55.57,4400
65.73,4846
77.18,5451
74.21,5910
77.33,6180
80.24,6304
76.98,6341
75.52,6346
70.49,6326
68.36,6304
65.83,6285
72.87,6308
78.45,6300
90,6195
112.05,6227
100.43,6141
78.5,5891
66.15,5574
67.87,5106
92.68,4606
86.44,4430
82.17,4399
84.07,4370
96.66,4358
122.92,4475
149.8,5126
176,5775
172.19,6264
157.28,6569
175,6712
154.4,6768
142.28,6777
137.81,6746
131.78,6709
129,6658
136.07,6670
157.9,6662
180.24,6571
219.01,6688
181.16,6613
162.28,6364
141.92,6009
138.85,5524
146.18,5013
119.76,4863
113.44,4711
115.6,4624
133.87,4616
148.67,4830
199.22,5247
230.24,5784
208.29,6138
192.32,6367
185.1,6464
178.35,6489
174.84,6465
172.73,6406
170.52,6348
168.09,6283
167.31,6254
171.18,6218
177.74,6096
180.01,6165
161.85,6103
126.89,5885
119.78,5604
107.19,5243
58.08,4914
54.77,4593
52.66,4445
52.57,4355
50.23,4321
50.61,4334
51.51,4498
51.68,4705
65.92,4916
71.91,5147
68.91,5301
67.65,5393
61.21,5426
52.34,5398
50.69,5357
49.29,5311
52.06,5282
59.96,5267
74.07,5334
80.08,5523
74.88,5554
66.89,5458
53.85,5292
48.12,5051
58.54,4896
52.65,4590
51.29,4427
51.61,4330
50.4,4296
48.45,4302
46.18,4430
48.31,4572
59.86,4714
67.64,4922
70.34,5116
74.67,5250
71.55,5337
64.27,5347
58.82,5315
60.19,5293
67.67,5289
75.16,5356
95.95,5456
101.98,5677
98.45,5738
91.78,5660
86.61,5482
76.25,5184
78.2,4922
70.59,4752
68.66,4656
65.16,4603
71.13,4611
82.02,4794
117.66,5351
152.4,5939
147.83,6311
140.04,6587
158.13,6730
151.78,6782
133.46,6799
125.17,6778
124.37,6743
114.05,6689
125.32,6684
140.61,6684
155.89,6592
184.03,6693
165.77,6636
121.94,6434
112.78,6102
88.95,5639
71.73,5196
68.52,4847
66.42,4686
63.39,4606
69,4614
77.36,4824
107.73,5284
137.3,5864
123.88,6212
110.07,6468
112.63,6600
103.5,6634
98.31,6644
94.3,6615
91.81,6567
87.98,6531
92.36,6512
98.55,6514
101.71,6440
122.25,6527
102.52,6473
91.86,6298
83.69,5982
72.15,5553
48.61,5133
48.94,4777
46.36,4597
43.83,4510
45.71,4517
48.31,4724
63.06,5174
85.54,5744
73.72,6108
70,6383
69.36,6495
66.14,6531
63.09,6529
61.14,6507
55.69,6473
55.75,6453
61.54,6462
64.59,6490
64.29,6390
74.91,6395
66.23,6295
55.74,6099
47.6,5795
40.4,5367
44.32,5006
44.07,4616
41.66,4424
39.81,4330
40.29,4332
47.52,4558
58.3,4990
66.89,5581
65.2,5975
64.31,6253
65.26,6358
61.89,6381
57.91,6372
55.68,6349
53.55,6317
52.43,6296
53.31,6297
58.74,6306
62.16,6231
69.55,6258
66,6175
54.68,6000
47.27,5700
41.94,5295
41.37,4890
39.48,4602
38.04,4393
38.09,4297
39.15,4294
43.46,4536
53.16,4932
64.86,5502
58.72,5878
57.38,6134
60.15,6258
54.66,6293
52.04,6291
50.99,6247
53.63,6175
50.65,6131
52.87,6103
54.68,6093
54.1,6004
61.38,6014
59.5,5915
50.53,5740
46.65,5467
44.1,5126
51.45,4822
44.14,4556
40.42,4373
39.34,4273
39.38,4234
39.57,4274
48.54,4440
55,4671
58.16,4895
64.47,5134
67.03,5313
65.17,5396
59.12,5422
55.14,5363
50.9,5291
50.66,5246
52.19,5214
56.95,5208
61.22,5287
71,5451
68.64,5483
58.83,5414
55.43,5245
47.05,5002
44.16,4715
40.69,4530
36.7,4335
35.67,4229
36.64,4185
41.41,4194
37.2,4325
40.39,4481
44.6,4646
50.37,4864
53.59,5061
55.71,5193
52.45,5266
50.96,5268
50.61,5238
50.97,5230
54.01,5232
56.02,5248
57.08,5364
71.13,5568
64.72,5635
57.67,5601
51.35,5416
45.43,5108
60.87,4811
58.57,4670
57.34,4547
59.78,4499
63.5,4503
69.33,4692
107.46,5248
135.52,5844
125.65,6257
121,6515
120.7,6640
107.52,6676
97.63,6674
91.96,6649
87.95,6607
83.37,6577
86.3,6566
92.3,6570
97.79,6497
132.09,6533
116.62,6485
91.71,6304
84.83,5970
70.52,5497
63.25,5108
61.62,4814
59.72,4652
61.33,4581
63.76,4584
66.93,4794
98.85,5269
136.47,5837
119.33,6239
114.37,6491
112.45,6614
103.72,6647
96.64,6650
84.09,6623
76.82,6575
73.1,6558
78.44,6560
84.7,6572
96.19,6478
117.15,6476
106.29,6421
81.26,6240
73.94,5918
